Products_id (N) (P),ProductName (T),Price (N),ReleaseDate (D)
101,Widget A,20.99,2020-05-07 14:30:00
102,Gadget B,99.99,2021-04-22 16:10:00
103,Device C,15.5,2021-09-30 11:20:00
104,Equipment D,45.75,2022-05-15 09:45:00
105,Appliance E,30.0,2019-01-12 08:00:00
106,Tool F,75.49,2022-07-18 13:25:00
107,Component G,12.99,2020-11-03 10:15:00
108,Accessory H,8.75,2021-12-05 17:40:00
109,Instrument J,149.99,2022-02-28 14:50:00
110,System K,199.99,2019-06-14 09:30:00
111,Module L,55.25,2020-08-22 11:45:00
112,Kit M,89.95,2021-10-17 15:20:00
113,Unit N,32.5,2022-01-09 12:10:00
114,Bundle P,125.0,2019-09-29 10:05:00
115,Package Q,67.8,2020-03-11 16:35:00
116,Set R,42.99,2021-07-25 13:55:00
117,Assembly S,95.45,2022-04-03 09:15:00
118,Collection T,110.25,2019-11-18 14:40:00
119,Solution U,135.5,2020-12-07 10:50:00
120,Platform V,175.0,2021-05-31 16:25:00
121,Widget Pro,24.99,2020-06-15 13:30:00
122,Gadget XL,119.99,2021-05-12 14:15:00
123,Device Mini,12.5,2021-08-20 10:20:00
124,Equipment Plus,55.75,2022-04-25 08:45:00
125,Appliance Max,35.0,2019-02-22 09:10:00
126,Tool Set,95.49,2022-08-28 12:25:00
127,Component Basic,10.99,2020-12-13 11:15:00
128,Accessory Pack,12.75,2021-11-15 16:40:00
129,Instrument Pro,179.99,2022-03-18 13:50:00
130,System Lite,159.99,2019-07-24 08:30:00
131,Module Plus,65.25,2020-09-14 10:45:00
132,Kit Deluxe,99.95,2021-11-22 14:20:00
133,Unit Standard,28.5,2022-02-18 11:10:00
134,Bundle Premium,145.0,2019-10-30 09:05:00
135,Package Basic,57.8,2020-04-17 15:35:00
136,Set Complete,52.99,2021-08-05 12:55:00
137,Assembly Pro,115.45,2022-05-12 08:15:00
138,Collection Lite,100.25,2019-12-28 13:40:00
139,Solution Premium,155.5,2021-01-17 09:50:00
140,Platform Basic,155.0,2021-06-30 15:25:00
141,Widget XL,29.99,2020-07-25 12:30:00
142,Gadget Mini,79.99,2021-05-22 13:15:00
143,Device Pro,25.5,2021-09-30 09:20:00
144,Equipment Max,65.75,2022-05-15 07:45:00
145,Appliance Pro,40.0,2019-03-02 08:10:00
146,Tool Pro,85.49,2022-09-08 11:25:00
147,Component Plus,14.99,2020-12-23 10:15:00
148,Accessory Pro,18.75,2022-01-25 15:40:00
149,Instrument XL,199.99,2022-04-28 12:50:00
150,System Pro,219.99,2019-08-04 07:30:00
151,Module Max,75.25,2020-10-24 09:45:00
152,Kit Pro,109.95,2021-12-02 13:20:00
153,Unit Plus,38.5,2022-03-28 10:10:00
154,Bundle Basic,115.0,2019-11-09 08:05:00
155,Package Premium,77.8,2020-05-27 14:35:00
156,Set Pro,62.99,2021-09-15 11:55:00
157,Assembly Max,125.45,2022-06-22 07:15:00
158,Collection Pro,120.25,2020-01-08 12:40:00
159,Solution Max,175.5,2021-02-27 08:50:00
160,Platform Pro,195.0,2021-07-10 14:25:00
161,Widget Max,34.99,2020-08-05 11:30:00
162,Gadget Pro,139.99,2021-06-02 12:15:00
163,Device XL,35.5,2021-10-10 08:20:00
164,Equipment Pro,75.75,2022-06-25 06:45:00
165,Appliance XL,50.0,2019-04-12 07:10:00
166,Tool Max,105.49,2022-10-18 10:25:00
167,Component Pro,19.99,2021-01-03 09:15:00
168,Accessory XL,22.75,2022-02-05 14:40:00
169,Instrument Max,229.99,2022-05-08 11:50:00
170,System XL,249.99,2019-09-14 06:30:00
171,Module Pro,85.25,2020-11-04 08:45:00
172,Kit Max,129.95,2022-01-12 12:20:00
173,Unit XL,48.5,2022-04-08 09:10:00
174,Bundle Pro,165.0,2019-12-19 07:05:00
175,Package Max,87.8,2020-06-07 13:35:00
176,Set Max,72.99,2021-10-25 10:55:00
177,Assembly XL,145.45,2022-07-02 06:15:00
178,Collection XL,140.25,2020-02-18 11:40:00
179,Solution XL,195.5,2021-03-09 07:50:00
180,Platform XL,225.0,2021-08-20 13:25:00
181,Widget Ultra,39.99,2020-09-15 10:30:00
182,Gadget Ultimate,159.99,2021-07-12 11:15:00
183,Device Premium,45.5,2021-11-20 07:20:00
184,Equipment Elite,85.75,2022-07-05 05:45:00
185,Appliance Premium,60.0,2019-05-22 06:10:00
186,Tool Ultimate,125.49,2022-11-28 09:25:00
187,Component Elite,24.99,2021-02-13 08:15:00
188,Accessory Premium,27.75,2022-03-15 13:40:00
189,Instrument Ultimate,259.99,2022-06-18 10:50:00
190,System Premium,279.99,2019-10-24 05:30:00
191,Module Elite,95.25,2020-12-14 07:45:00
192,Kit Ultimate,149.95,2022-02-22 11:20:00
193,Unit Premium,58.5,2022-05-18 08:10:00
194,Bundle Elite,185.0,2020-01-29 06:05:00
195,Package Ultimate,97.8,2020-07-17 12:35:00
196,Set Ultimate,82.99,2021-11-05 09:55:00
197,Assembly Premium,165.45,2022-08-12 05:15:00
198,Collection Premium,160.25,2020-03-28 10:40:00
199,Solution Ultimate,215.5,2021-04-19 06:50:00
200,Platform Premium,245.0,2021-09-30 12:25:00
201,Widget Mini,19.99,2020-10-25 09:30:00
202,Gadget Compact,69.99,2021-08-22 10:15:00
203,Device Lite,18.5,2021-12-30 06:20:00
204,Equipment Compact,48.75,2022-08-15 04:45:00
205,Appliance Compact,25.0,2019-06-02 05:10:00
206,Tool Basic,55.49,2022-12-08 08:25:00
207,Component Mini,9.99,2021-03-23 07:15:00
208,Accessory Basic,7.75,2022-04-25 12:40:00
209,Instrument Compact,129.99,2022-07-28 09:50:00
210,System Compact,139.99,2019-11-04 04:30:00
211,Module Basic,45.25,2021-01-24 06:45:00
212,Kit Compact,79.95,2022-03-02 10:20:00
213,Unit Compact,22.5,2022-06-28 07:10:00
214,Bundle Compact,105.0,2020-02-09 05:05:00
215,Package Compact,47.8,2020-08-27 11:35:00
216,Set Basic,32.99,2021-12-15 08:55:00
217,Assembly Compact,85.45,2022-09-22 04:15:00
218,Collection Basic,90.25,2020-04-08 09:40:00
219,Solution Compact,115.5,2021-05-27 05:50:00
220,Platform Compact,135.0,2021-10-10 11:25:00
221,Widget Standard,22.99,2020-11-05 08:30:00
222,Gadget Standard,89.99,2021-09-02 09:15:00
223,Device Standard,22.5,2022-01-10 05:20:00
224,Equipment Standard,59.75,2022-09-25 03:45:00
225,Appliance Standard,35.0,2019-07-12 04:10:00
226,Tool Standard,65.49,2023-01-18 07:25:00
227,Component Standard,13.99,2021-04-03 06:15:00
228,Accessory Standard,11.75,2022-05-05 11:40:00
229,Instrument Standard,149.99,2022-08-08 08:50:00